CQ,row,person,quality,method,task,embodiment,capability,capType,suitable,opportunity,context,contextType,migration,agent,candidateEmbodiment,taskOpportunity
CQ1,1,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#Patient,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#CognitiveEngagementQuality,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#OrientationMethod,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#Task_Robot01_OrientationMethod,,,,,,,,,,,
CQ1,2,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#Patient,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#CognitiveEngagementQuality,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#OrientationMethod,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#Task_Tablet01_OrientationMethod,,,,,,,,,,,
CQ2,1,,,,,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#Robot01,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#RobotCommunicationCapability,http://www.istc.cnr.it/pst/ontologies/2024/migrai#CommunicationCapability,,,,,,,,
CQ2,2,,,,,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#Robot01,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#RobotNavigationCapability,http://www.istc.cnr.it/pst/ontologies/2024/migrai#NavigationCapability,,,,,,,,
CQ2,3,,,,,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#Tablet01,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#TabletCommunicationCapability,http://www.istc.cnr.it/pst/ontologies/2024/migrai#CommunicationCapability,,,,,,,,
CQ3,1,,,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#OrientationMethod,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#Task_Robot01_OrientationMethod,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#Robot01,,,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#Suitable_Robot01_OrientationMethod,,,,,,,
CQ3,2,,,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#OrientationMethod,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#Task_Tablet01_OrientationMethod,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#Tablet01,,,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#Suitable_Tablet01_OrientationMethod,,,,,,,
CQ4,1,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#Patient,,,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#Task_Tablet01_OrientationMethod,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#Tablet01,,,,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#TaskOpportunity_AssistedPatientRole_Suitable_Tablet01_OrientationMethod_Task_Tablet01_OrientationMethod,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#HospitalRoomContext,,,,,
CQ5,1,,,,,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#PassiveDisplay01,,,,,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#HospitalRoomContext,http://www.istc.cnr.it/pst/ontologies/2024/migrai#InteractionContext,,,,
CQ5,2,,,,,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#PassiveDisplay01,,,,,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#HospitalRoomContext,http://www.istc.cnr.it/pst/ontologies/2024/migrai#ProfessionalContext,,,,
CQ5,3,,,,,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#Tablet01,,,,,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#HospitalRoomContext,http://www.istc.cnr.it/pst/ontologies/2024/migrai#InteractionContext,,,,
CQ5,4,,,,,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#Tablet01,,,,,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#HospitalRoomContext,http://www.istc.cnr.it/pst/ontologies/2024/migrai#ProfessionalContext,,,,
CQ5,5,,,,,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#Robot01,,,,,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#RehabilitationGymContext,http://www.istc.cnr.it/pst/ontologies/2024/migrai#InteractionContext,,,,
CQ5,6,,,,,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#Robot01,,,,,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#RehabilitationGymContext,http://www.istc.cnr.it/pst/ontologies/2024/migrai#ProfessionalContext,,,,
CQ6,1,,,,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#Task_Tablet01_OrientationMethod,,,,,,,,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#MigrationOpportunity_TaskOpportunity_AssistedPatientRole_Suitable_Tablet01_OrientationMethod_Task_Tablet01_OrientationMethod,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#PersistentAgent,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#Tablet01,http://www.istc.cnr.it/pst/ontologies/2024/migrai/demo#TaskOpportunity_AssistedPatientRole_Suitable_Tablet01_OrientationMethod_Task_Tablet01_OrientationMethod
